canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
COc1cc(Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)ccc1N1CCOCC1,P01375,,398.0,,6.4,Other,compound_5057
C[C@@H]1CN(c2ncc(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)cn2)C[C@H](C)O1,P01375,,20.0,,7.699,Other,compound_5058
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(F)cn1,P01375,,42.0,,7.377,Other,compound_5059
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1ccc(N2CCS(=O)(=O)CC2)cc1,P01375,,24.0,,7.62,Other,compound_5060
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1Nc1cnc(N2CC3(CCOCC3)C2)nc1,P01375,,180.0,,6.745,Other,compound_5061
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NC1CCC(C)(N2CCOCC2)CC1,P01375,,345.0,,6.462,Other,compound_5062
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1-c1ccc2cc(C#N)cnn12,P01375,,821.0,,6.086,Other,compound_5064
Cc1nnc(NC[C@H]2C[C@H](Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)C2)o1,P01375,,102.0,,6.991,Other,compound_5065
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](CNC(=O)C2CC2(F)F)C1,P01375,,15.0,,7.824,Other,compound_5066
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](CNc2nnc(C3CC3)o2)C1,P01375,,103.0,,6.987,Other,compound_5067
COCc1nnc(NC[C@H]2C[C@H](Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)C2)o1,P01375,,171.0,,6.767,Other,compound_5068
COC(=O)NC[C@H]1C[C@@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)C1,P01375,,201.0,,6.697,Other,compound_5069
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](CNC(=O)[C@@H]2CC2(F)F)C1,P01375,,36.0,,7.444,Other,compound_5070
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](CNCC(F)(F)F)C1,P01375,,151.0,,6.821,Other,compound_5071
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1N[C@H]1C[C@H](CN2CCOCC2)C1,P01375,,191.0,,6.719,Other,compound_5072
CC(C)(O)[C@H](F)CNC(=O)c1cnc(-c2ccc3cc(C#N)cnn23)cc1NCC1CCC1,P01375,,45.0,,7.347,Other,compound_5074
