canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
CC(C)(c1cc(-c2cccc(C(=O)Nc3c(Cl)cncc3Cl)c2)c2ncccc2c1)S(C)(=O)=O,Q08499,,0.7,,9.155,Enzyme,compound_11107
CC(C)NC(=O)N(Cc1cc(-c2cc(C(C)(C)S(C)(=O)=O)cc3cccnc23)ccc1F)c1ccc(S(C)(=O)=O)cc1,Q08499,,0.8,,9.097,Enzyme,compound_11108
CC(C)(c1cc(-c2cccc(C(=O)Nc3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1)S(C)(=O)=O,Q08499,,2.8,,8.553,Enzyme,compound_11109
CC(C)(c1cc(-c2cccc(NC(=O)c3ccc(S(C)(=O)=O)cc3)c2)c2ncccc2c1)S(C)(=O)=O,Q08499,,2.3,,8.638,Enzyme,compound_11110
CC(C)OC(=O)N(Cc1cccc(-c2cc(C(C)(C)C#N)cc3cccnc23)c1)c1ccc(S(C)(=O)=O)cc1,Q08499,,0.3,,9.523,Enzyme,compound_11111
COc1cc2c(cc1OC)[C@@H]1CN(C)CC[C@@H]1N=C2c1ccc(NS(=O)(=O)c2ccc(C)cc2)cc1,Q08499,,30.0,,7.523,Enzyme,compound_11112
CC(C)(c1cc(-c2cccc(C(N)=O)c2)c2ncccc2c1)S(C)(=O)=O,Q08499,,74.0,,7.131,Enzyme,compound_11113
COc1cc(N)ccc1-c1nc2c(C)nn(C3CCCCC3)c(=O)c2[nH]1,Q08499,,6550.0,,5.184,Enzyme,compound_11114
COc1ccc(C2=NN(C3CCCCCC3)C(=O)C2(C)C)cc1OCCCCOc1ccc(-c2nn[nH]n2)cc1,Q08499,,1.2,,8.921,Enzyme,compound_11116
COc1cccc(-c2nc(N3CCC(C(=O)O)CC3)cc3cccnc23)c1,Q08499,,45.0,,7.347,Enzyme,compound_11117
O=C(O)C1CCN(c2cc3cccnc3c(-c3cccc(OC(F)(F)F)c3)n2)CC1,Q08499,,30.0,,7.523,Enzyme,compound_11118
O=C(O)C1CCN(c2cc3cccnc3c(-c3cccc(F)c3)n2)CC1,Q08499,,51.0,,7.292,Enzyme,compound_11119
O=C(O)C1CCN(c2cc3cccnc3c(-c3cccc(Cl)c3)n2)CC1,Q08499,,30.0,,7.523,Enzyme,compound_11120
N#Cc1cccc(-c2nc(N3CCC(C(=O)O)CC3)cc3cccnc23)c1,Q08499,,19.0,,7.721,Enzyme,compound_11121
CSc1cccc(-c2nc(N3CCC(C(=O)O)CC3)cc3cccnc23)c1,Q08499,,51.0,,7.292,Enzyme,compound_11122
COc1cccc(-c2nc([C@H]3CC[C@H](C(=O)O)CC3)cc3cccnc23)c1,Q08499,,64.0,,7.194,Enzyme,compound_11123
O=C(O)[C@H]1CC[C@H](c2cc3cccnc3c(-c3cccc(OC(F)(F)F)c3)n2)CC1,Q08499,,24.0,,7.62,Enzyme,compound_11124
CSc1cccc(-c2nc([C@H]3CC[C@H](C(=O)O)CC3)cc3cccnc23)c1,Q08499,,6.0,,8.222,Enzyme,compound_11127
Clc1ncnc2ccccc12,Q08499,,622.0,,6.206,Enzyme,compound_11128
COc1ccc(/C=N/N(C)C(=O)c2ccc(O)cc2)cc1OC,Q08499,,31.0,,7.509,Enzyme,compound_11129
COc1ccc(/C=N/N(C)C(=O)c2ccccc2)cc1OC,Q08499,,140.0,,6.854,Enzyme,compound_11130
COc1ccc(C(=O)N(C)/N=C/c2ccc(OC)c(OC)c2)cc1,Q08499,,74.0,,7.131,Enzyme,compound_11131
OCC1CCN(c2nccnc2OC2CN(c3ccc4ccccc4n3)C2)CC1,Q08499,,10800.0,,4.967,Enzyme,compound_10386
CCc1nn(C2CCCC2)c2c1CCn1c-2nnc1C(C)(C)C,Q08499,,9.0,,8.046,Enzyme,compound_11133
CCc1nn(C2CCCC2)c2c1CCn1c(-c3ccccc3Cl)nnc1-2,Q08499,,13.0,,7.886,Enzyme,compound_11134
CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccc(OC)c3)nnc1-2,Q08499,,180.0,,6.745,Enzyme,compound_11135
CCc1nn(C2CCCC2)c2c1CCn1c(-c3cccnc3)nnc1-2,Q08499,,70.0,,7.155,Enzyme,compound_11136
CCOC(=O)C1=CN(Cc2ccc(OC)c(OC)c2)C=C(C(=O)OCC)C1c1ccc(Cl)cc1,Q08499,,2780.0,,5.556,Enzyme,compound_11137
CCOC(=O)C1=CN(Cc2ccc(OC)c(OO)c2)C=C(C(=O)OCC)C1c1cccc(F)c1,Q08499,,3330.0,,5.478,Enzyme,compound_11138
CCOC(=O)C1=CN(Cc2ccc(OC)c(OC)c2)C=C(C(=O)OCC)C1c1c[nH]c2ccccc12,Q08499,,650.0,,6.187,Enzyme,compound_11139
CCOC(=O)C1=CN(Cc2ccc(OC)c(OC)c2)C=C(C(=O)OCC)C1c1cccc([N+](=O)[O-])c1,Q08499,,2890.0,,5.539,Enzyme,compound_11140
COc1ccc(C2=NN(C3CCCCCC3)C(=O)[C@@H]3CC=CC[C@H]23)cc1OCCCCOc1ccc(-c2nnn[nH]2)cc1,Q08499,,0.631,,9.2,Enzyme,compound_10421
O=C(O)Cc1ccc(Nc2nc(-c3ccccc3)nc3c2SCCC3)cc1,Q08499,,1300.0,,5.886,Enzyme,compound_11141
C[C@@H](c1ccc2ncccc2c1)c1nnc2ccc(-c3cnn(C)c3)nn12,Q08499,,9610.0,,5.017,Enzyme,compound_9141
C[C@@H](c1ccc2ncccc2c1)c1nnc2ccc(-c3ccc(F)c(F)c3)nn12,Q08499,,2230.0,,5.652,Enzyme,compound_9142
C[C@@H](c1ccc2ncccc2c1)n1nnc2ncc(-c3cnn(C)c3)nc21,Q08499,,2500.0,,5.602,Enzyme,compound_9144
C[C@@H](c1ccc2ncccc2c1)n1nnc2ncc(-c3cnn(CCO)c3)nc21,Q08499,,2120.0,,5.674,Enzyme,compound_9145
Cn1nc(-c2ccc(Cl)cc2)s/c1=N\c1cccc(-c2noc(O)n2)c1,Q08499,,5630.0,,5.249,Enzyme,compound_9149
CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21,Q08499,,34500.0,,4.462,Enzyme,compound_9152
CCCOc1cc(C(=O)Nc2c(F)cccc2F)ccc1OC,Q08499,,1584.9450000000002,,5.8,Enzyme,compound_11143
Cc1nc2ccncc2n2c(-c3ccccc3Cl)nnc12,Q08499,,5890.0,,5.23,Enzyme,compound_10466
COc1ccc(-c2nc3c(c(Nc4ccc(CC(=O)O)cc4)n2)SCCC3)cc1,Q08499,,280.0,,6.553,Enzyme,compound_11144
Cc1ccc(O)c(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3ccc(F)c(F)c3)CC2)c1,Q08499,,0.38,,9.42,Enzyme,compound_11145
