canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family,compound_id
COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(c4ccccc4)(N4CCCNC4=O)CC3)C(C)(C)C2)cc1,P31645,,24.0,,7.62,Transporter,compound_3825
Clc1cccc(OC(c2ccccn2)C2CCNCC2)c1Cl,P31645,,6.0,,8.222,Transporter,compound_2126
CN(C)C[C@H]1CCC[C@@H]1c1c[nH]c2ccc(C#N)cc12,P31645,,0.225,,9.648,Transporter,compound_2127
CCN(C)C[C@H]1CCC[C@@H]1c1c[nH]c2ccc(C#N)cc12,P31645,,10.0,,8.0,Transporter,compound_3826
Cc1ccc(C(Oc2cccc(Cl)c2Cl)C2CCNCC2)nc1,P31645,,16.0,,7.796,Transporter,compound_2134
Clc1ccc(OC(c2ccncc2)C2CCNCC2)c(Cl)c1,P31645,,7.0,,8.155,Transporter,compound_3827
COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)C3CCC(NC(C)=O)(c4ccccc4)CC3)C(C)(C)C2)cc1,P31645,,26.0,,7.585,Transporter,compound_3828
CN(Cc1ccccc1)C[C@H]1CCC[C@@H]1c1c[nH]c2ccc(C#N)cc12,P31645,,85.0,,7.071,Transporter,compound_3829
Cc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(C(=O)N4CCCC4)(c4ccccc4)CC3)C(C)(C)C2)cc1,P31645,,76.0,,7.119,Transporter,compound_3830
Cc1ccc(C(Oc2cccc(Cl)c2Cl)C2CCNCC2)cn1,P31645,,22.33333333333333,,7.651,Transporter,compound_3832
CN(C)C[C@@H]1CCC[C@H]1c1c[nH]c2ccc(C#N)cc12,P31645,,58.0,,7.237,Transporter,compound_3833
Clc1ccc(Cl)c(OC(c2cccnc2)C2CCNCC2)c1,P31645,,7.0,,8.155,Transporter,compound_2144
Clc1cc(Cl)c(Cl)c(OC(c2cccnc2)C2CCNCC2)c1,P31645,,10.0,,8.0,Transporter,compound_2146
Cc1cccnc1C(Oc1cccc(Cl)c1Cl)C1CCNCC1,P31645,,11.0,,7.959,Transporter,compound_3834
COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)C3CCC(c4ccccc4)(N(C)C(C)=O)CC3)C(C)(C)C2)cc1,P31645,,14.0,,7.854,Transporter,compound_3835
COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(c4ccccc4)(N4CCCOC4=O)CC3)C(C)(C)C2)cc1,P31645,,17.0,,7.77,Transporter,compound_3836
COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(c4ccccc4)(N4CCCCC4=O)CC3)C(C)(C)C2)cc1,P31645,,11.0,,7.959,Transporter,compound_3837
COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(C(=O)N4CCCC4)(c4ccccc4)CC3)C(C)(C)C2)cc1,P31645,,17.0,,7.77,Transporter,compound_3838
COc1ccc([C@@H](C)N[C@@H]2CC[C@@H](C(=O)N3CCC(C(=O)N(C)C)(c4ccccc4)CC3)C(C)(C)C2)cc1,P31645,,38.0,,7.42,Transporter,compound_3839
Clc1ccc(OC(c2ccccn2)C2CCNCC2)c(Cl)c1,P31645,,7.0,,8.155,Transporter,compound_3840
COC(=O)[C@H]1[C@@H](c2ccc(C)cc2)C[C@@H]2CC[C@H]1N2CC#CCF,P31645,,174.085,,6.759,Transporter,compound_2153
CNC[C@H]1CCC[C@@H]1c1c[nH]c2ccc(C#N)cc12,P31645,,7.0,,8.155,Transporter,compound_3841
c1ccc(-c2ccccc2OC(c2cccnc2)C2CCNCC2)cc1,P31645,,109.0,,6.963,Transporter,compound_2154
Cc1ccc2c3c(ccc2n1)OC[C@H](CN1CC=C(c2c[nH]c4ccccc24)CC1)O3,P31645,,145.0,,6.839,Transporter,compound_3842
CCc1ccc(OC(c2cccnc2)C2CCNCC2)cc1,P31645,,5.0,,8.301,Transporter,compound_2155
CNC[C@@H](O)[C@H](c1ccccc1)n1ccc2ccccc21,P31645,,242.0,,6.616,Transporter,compound_3843
CCN(CC)C[C@H]1CCC[C@@H]1c1c[nH]c2ccc(C#N)cc12,P31645,,240.0,,6.62,Transporter,compound_3844
Cc1cccc(OC(c2cccnc2)C2CCNCC2)c1C,P31645,,3.0,,8.523,Transporter,compound_2161
Clc1cccc(OC(c2ccccn2)[C@H]2CCNC2)c1Cl,P31645,,24.5,,7.611,Transporter,compound_3845
FC(F)(F)Oc1ccccc1OC(c1cccnc1)C1CCNCC1,P31645,,95.0,,7.022,Transporter,compound_2166
Fc1cccc(OC(c2cccnc2)C2CCNCC2)c1F,P31645,,3.0,,8.523,Transporter,compound_2168
Clc1ccccc1OC(c1cccnc1)C1CCNCC1,P31645,,9.0,,8.046,Transporter,compound_2172
CSc1ccc(OC(c2cccnc2)C2CCNCC2)cc1,P31645,,7.0,,8.155,Transporter,compound_2175
CNC[C@H](O)[C@@H](c1ccccc1)n1ccc2ccccc21,P31645,,109.0,,6.963,Transporter,compound_2179
CCCN(C(=O)c1ccc2ccccc2c1)C1CCNCC1,P31645,,28.3,,7.548,Transporter,compound_3847
CC(C)N(C(=O)c1ccc2ccccc2c1)[C@@H]1CCNC1,P31645,,15.0,,7.824,Transporter,compound_2184
CC(NC(C)(C)C)C(=O)c1ccc(Cl)cc1,P31645,,9800.0,,5.009,Transporter,compound_2187
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2c(F)cccc21,P31645,,417.0,,6.38,Transporter,compound_2190
CCNC[C@H](O)[C@H](c1ccccc1)n1ccc2ccccc21,P31645,,298.0,,6.526,Transporter,compound_2191
CS(=O)(=O)N(Cc1ccc2ccccc2c1)[C@@H]1CCNC1,P31645,,17.0,,7.77,Transporter,compound_2197
CNC[C@@H](O)[C@@H](c1ccccc1)n1ccc2ccccc21,P31645,,161.0,,6.793,Transporter,compound_2199
CCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,P31645,,16000.0,,4.796,Transporter,compound_2202
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2cc(Cl)ccc21,P31645,,79.0,,7.102,Transporter,compound_2204
CCC(=O)N(Cc1ccc2ccccc2c1)C1CCNCC1,P31645,,1.0,,9.0,Transporter,compound_2205
c1cnc(N(Cc2ccc3ccccc3c2)C2CCNCC2)nc1,P31645,,10.0,,8.0,Transporter,compound_2206
CNC[C@H](O)[C@H](c1ccccc1)n1ccc2cc(Cl)ccc21,P31645,,10.0,,8.0,Transporter,compound_2207
O=C(c1ccc2ccccc2c1)N(C1CCCC1)[C@@H]1CCNC1,P31645,,12.0,,7.921,Transporter,compound_2209
Cc1c(C(=O)N(C(C)C)[C@@H]2CCNC2)ccc(Cl)c1Cl,P31645,,7.0,,8.155,Transporter,compound_2210
CC(C)CN(C(=O)c1ccc2ccccc2c1)[C@H]1CCNC1,P31645,,3.0,,8.523,Transporter,compound_2211
CS(=O)(=O)N(Cc1ccc2ccccc2c1)[C@H]1CCNC1,P31645,,3.5,,8.456,Transporter,compound_2212
CC(=O)N(Cc1ccc2ccccc2c1)C1CCNCC1,P31645,,4.5,,8.347,Transporter,compound_2213
Cc1c(C(=O)N(C)[C@@H]2CCNC2)ccc(Cl)c1Cl,P31645,,58.0,,7.237,Transporter,compound_3855
CNC[C@H](O)[C@H](c1ccccc1)n1ccc2cc(F)ccc21,P31645,,95.0,,7.022,Transporter,compound_2214
CS(=O)(=O)N(Cc1ccc2ccccc2c1)C1CCNCC1,P31645,,3.5,,8.456,Transporter,compound_2216
O[C@@H](CNCC1CCCCC1)[C@H](c1ccccc1)n1ccc2ccccc21,P31645,,2833.0,,5.548,Transporter,compound_3858
CNC[C@H](O)[C@H](c1ccccc1)n1ccc2cc(OC)ccc21,P31645,,31.0,,7.509,Transporter,compound_2218
CNC[C@H](O)[C@H](c1ccccc1)n1ccc2ccccc21,P31645,,918.0,,6.037,Transporter,compound_2224
CCNC[C@H](O)[C@H](c1ccccc1)n1cc(C)c2ccccc21,P31645,,2200.0,,5.658,Transporter,compound_2227
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2cc(C)ccc21,P31645,,48.0,,7.319,Transporter,compound_2229
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2cccc(Br)c21,P31645,,113.0,,6.947,Transporter,compound_2230
CNCC[C@H](c1ccccc1)n1ccc2ccccc21,P31645,,491.0,,6.309,Transporter,compound_2233
CNC[C@@H](O)[C@H](c1cccc(Br)c1)n1ccc2ccccc21,P31645,,547.0,,6.262,Transporter,compound_2251
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2c(C)cccc21,P31645,,228.0,,6.642,Transporter,compound_2252
CNC[C@@H](O)[C@H](c1ccc(F)cc1)n1ccc2ccccc21,P31645,,1366.0,,5.865,Transporter,compound_2254
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2cccc(F)c21,P31645,,175.0,,6.757,Transporter,compound_2255
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2c(Br)cccc21,P31645,,207.0,,6.684,Transporter,compound_2256
CNC[C@@H](O)[C@H](c1cccc(Cl)c1)n1ccc2ccccc21,P31645,,554.0,,6.256,Transporter,compound_2259
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2ccc(F)cc21,P31645,,626.0,,6.203,Transporter,compound_2260
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2ccc(Cl)cc21,P31645,,865.0,,6.063,Transporter,compound_2264
CCC(=O)N(Cc1ccc2ccccc2c1)[C@@H]1CCNC1,P31645,,2.4,,8.62,Transporter,compound_2267
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1cc(C)c2ccccc21,P31645,,343.0,,6.465,Transporter,compound_2269
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2ccccc21,P31645,,441.0,,6.356,Transporter,compound_2270
CNCC[C@H](c1cccc(F)c1)n1ccc2ccccc21,P31645,,14.0,,7.854,Transporter,compound_2271
CCc1cn([C@@H](c2cccc(F)c2)[C@H](O)CNC)c2ccccc12,P31645,,834.0,,6.079,Transporter,compound_2273
Cc1c(CN([C@@H]2CCNC2)S(C)(=O)=O)ccc2cc(F)ccc12,P31645,,4.6,,8.337,Transporter,compound_2274
CNC[C@@H](O)[C@H](c1cccc(C(F)(F)F)c1)n1ccc2ccccc21,P31645,,2184.0,,5.661,Transporter,compound_2275
CC(C)CN(C(=O)c1ccc2ccccc2c1)[C@@H]1CCNC1,P31645,,5.0,,8.301,Transporter,compound_2276
Cc1cn([C@@H](c2ccccc2)[C@@H](O)CN)c2ccccc12,P31645,,299.0,,6.524,Transporter,compound_2278
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2ccc(Br)cc21,P31645,,1003.0,,5.999,Transporter,compound_2279
CNC[C@@H](O)[C@H](c1cccc(F)c1)n1ccc2cc(F)ccc21,P31645,,78.0,,7.108,Transporter,compound_2280
CNC[C@@H](O)[C@H](c1ccccc1F)n1ccc2ccccc21,P31645,,473.0,,6.325,Transporter,compound_2281
CNC[C@@H](O)[C@H](c1ccc(Cl)cc1)n1ccc2ccccc21,P31645,,748.0,,6.126,Transporter,compound_2282
CNC[C@@H](O)[C@H](c1cccc(C)c1)n1ccc2ccccc21,P31645,,377.0,,6.424,Transporter,compound_2283
NC[C@H](O)[C@H](c1ccccc1)n1ccc2ccccc21,P31645,,50.0,,7.301,Transporter,compound_3862
