target_family,model,metric,si_reported,a100_workbook,array_recalculated,abs_diff_si_workbook,abs_diff_si_array,status
Kinases,PreMOTA (fine-tuned),Spearman,0.867,0.867,0.8671401878485316,0.0,0.00014018784853164767,consistent
Kinases,PreMOTA (fine-tuned),R2,0.752,0.752,0.7517609596252441,0.0,0.00023904037475586115,consistent
NR,GraphDTA,RMSE,0.853,0.853,,0.0,,consistent
NR,GraphDTA,PCC,0.799,0.799,,0.0,,consistent
NR,GraphDTA,Spearman,0.794,0.794,,0.0,,consistent
NR,GraphDTA,R2,0.591,0.591,,0.0,,consistent
NR,BACPI,RMSE,0.777,0.777,,0.0,,consistent
NR,BACPI,PCC,0.818,0.818,,0.0,,consistent
NR,BACPI,Spearman,0.814,0.814,,0.0,,consistent
NR,BACPI,R2,0.659,0.659,,0.0,,consistent
NR,PMF-CPI,RMSE,0.792,0.792,,0.0,,consistent
NR,PMF-CPI,PCC,0.815,0.815,,0.0,,consistent
NR,PMF-CPI,Spearman,0.807,0.807,,0.0,,consistent
NR,PMF-CPI,R2,0.647,0.647,,0.0,,consistent
NR,PreMOTA (from-scratch),RMSE,0.733,0.733,,0.0,,consistent
NR,PreMOTA (from-scratch),PCC,0.836,0.836,,0.0,,consistent
NR,PreMOTA (from-scratch),Spearman,0.84,0.84,,0.0,,consistent
NR,PreMOTA (from-scratch),R2,0.697,0.697,,0.0,,consistent
NR,PreMOTA (fine-tuned),RMSE,0.634,0.634,0.6237070560455322,0.0,0.010292943954467781,ARRAY_MISMATCH
NR,PreMOTA (fine-tuned),PCC,0.886,0.886,0.8864767113440686,0.0,0.00047671134406856996,consistent
NR,PreMOTA (fine-tuned),Spearman,0.883,0.883,0.8826030020795523,0.0,0.00039699792044767257,consistent
NR,PreMOTA (fine-tuned),R2,0.781,0.781,0.781178206205368,0.0,0.00017820620536801446,consistent
Transporter,GraphDTA,RMSE,0.734,0.734,,0.0,,consistent
Transporter,GraphDTA,PCC,0.811,0.811,,0.0,,consistent
Transporter,GraphDTA,Spearman,0.798,0.798,,0.0,,consistent
Transporter,GraphDTA,R2,0.651,0.651,,0.0,,consistent
Transporter,BACPI,RMSE,0.709,0.709,,0.0,,consistent
Transporter,BACPI,PCC,0.827,0.827,,0.0,,consistent
Transporter,BACPI,Spearman,0.82,0.82,,0.0,,consistent
Transporter,BACPI,R2,0.675,0.675,,0.0,,consistent
Transporter,PMF-CPI,RMSE,0.704,0.704,,0.0,,consistent
Transporter,PMF-CPI,PCC,0.827,0.827,,0.0,,consistent
Transporter,PMF-CPI,Spearman,0.82,0.82,,0.0,,consistent
Transporter,PMF-CPI,R2,0.679,0.679,,0.0,,consistent
Transporter,PreMOTA (from-scratch),RMSE,0.681,0.681,,0.0,,consistent
Transporter,PreMOTA (from-scratch),PCC,0.839,0.839,,0.0,,consistent
Transporter,PreMOTA (from-scratch),Spearman,0.829,0.829,,0.0,,consistent
Transporter,PreMOTA (from-scratch),R2,0.699,0.699,,0.0,,consistent
Transporter,PreMOTA (fine-tuned),RMSE,0.586,0.586,0.5862402319908142,0.0,0.00024023199081424362,consistent
Transporter,PreMOTA (fine-tuned),PCC,0.884,0.884,0.8843104815987246,0.0,0.000310481598724599,consistent
Transporter,PreMOTA (fine-tuned),Spearman,0.875,0.875,0.874765979060047,0.0,0.00023402093995295026,consistent
Transporter,PreMOTA (fine-tuned),R2,0.777,0.777,0.7772688269615173,0.0,0.00026882696151731,consistent
