comparison,test,t_statistic,p_raw,p_holm,significance
DOT-SafeNet vs MLDNN,two-sided Welch t-test from summary statistics,8.03204312598575,0.00035870084808520703,0.0004087274601757149,***
DOT-SafeNet vs Multi-AttentiveFP,two-sided Welch t-test from summary statistics,9.993072134229942,0.00020436373008785746,0.0004087274601757149,***
