epoch,train_loss,val_loss
1,0.5298011806018804,0.4954641822730391
2,0.4734375143213595,0.4525609716598182
3,0.4396109827733379,0.4192970654255719
4,0.4147944625182994,0.3940086791381686
5,0.3962509238433063,0.381013801542379
6,0.3818771511566884,0.380929207591998
7,0.3696620780040334,0.358262204440041
8,0.3593632268491742,0.3473514065709854
9,0.3511833729787853,0.3435471201463659
10,0.3435903872185322,0.3380654162036393
11,0.3372998778203599,0.3313715742922823
12,0.3318425201789024,0.3303058550558314
13,0.3263983856524789,0.327744854242581
14,0.3216295899814127,0.3186158407309531
15,0.3176022820297826,0.3167607894427151
16,0.3129854378198395,0.3154288082537781
17,0.3097122143138557,0.3108853588203719
18,0.3064416622590175,0.3117889710829497
19,0.3032398012672759,0.3086754844233763
20,0.300253834639141,0.3070680262639905
21,0.2977319461374256,0.3059597021403493
22,0.2951924512678556,0.3020017800811372
23,0.2928278728537575,0.3006086419621844
24,0.2906072483235734,0.3019925229630227
25,0.2883007609501166,0.3003136758271221
26,0.2861241044216862,0.3011820652999343
27,0.2845482035464707,0.2968095256576638
28,0.2824983152704814,0.2984025254554201
29,0.2807189574895578,0.2958222850282935
30,0.2790041847327855,0.2934537667688832
31,0.2768335858612138,0.2958731954963453
32,0.2755222746875017,0.2960334129563521
33,0.2741299188609709,0.291251121980115
34,0.2728845838788939,0.2910045491825337
35,0.2712958196140815,0.2927143844196663
36,0.2697714756743291,0.291991739707478
37,0.268895244772934,0.2906172762016585
38,0.2675868141807553,0.2887074227555323
39,0.2662443252413747,0.2938400518435698
40,0.2649707198229414,0.2890489420026657
41,0.2636416074667297,0.289649268619551
42,0.263286526735346,0.2908599802148389
43,0.2620178054414406,0.2869438911937517
44,0.2604980774441986,0.2871026166725656
45,0.2595495844697841,0.2919103546162783
46,0.258776338020851,0.2846363161968594
47,0.2575173263283321,0.2886067053213269
48,0.2566404011274428,0.2845820351327724
49,0.255719793598076,0.2858916473668433
50,0.2548039356291415,0.2841919815213926
51,0.2540089784799779,0.286378818917461
52,0.2530733647921805,0.2925212905879437
53,0.2524284361414752,0.2871243361349678
54,0.2517459728504202,0.2832316672514439
55,0.2506823767830959,0.2868144148098598
56,0.2498576275444818,0.2856454234934537
57,0.2490606267220146,0.2879765878056298
58,0.2484765211419977,0.2864814906379856
59,0.2477101031404607,0.2846786641313013
60,0.2467507940227482,0.2826759988123932
61,0.245926856422172,0.2869078419432335
62,0.2451872071210769,0.2847536541181562
63,0.2449100798400425,0.2811782902891042
64,0.2439641077130834,0.2856622443399653
65,0.2434798623922597,0.2825998798343007
66,0.2428633910559267,0.2842487831159241
67,0.2420928586338112,0.2818365876102696
68,0.2415679536066424,0.2818922489842659
69,0.2407094388422533,0.2843429151111352
70,0.227362676233347,0.2813787701815328
71,0.2240744406672259,0.2805873137137414
72,0.2225732486268408,0.2810898524802542
73,0.2216217953341271,0.2806311102469865
74,0.2208553250370318,0.2802853651315634
75,0.2202512108817778,0.2814168696142393
76,0.2195632861088448,0.2813197330825487
77,0.2188948045019465,0.2799817234510859
78,0.2185734124812623,0.2812200723679777
79,0.2182397424384074,0.2801025890231599
80,0.2181442198169407,0.2821768605219494
81,0.2174406812992622,0.2807250520823987
82,0.2174153674040697,0.2813988073863759
83,0.2171545584347756,0.2816033191017252
84,0.2153135600650213,0.28218743191471
85,0.215193464302194,0.2824650742162159
86,0.2150695437484978,0.2828177956978376
87,0.2147559029789774,0.2819041492225604
88,0.2149503544700961,0.2812364463156485
89,0.2147574992275265,0.2810600950362008
90,0.2147778351206594,0.2824389039110174
91,0.2147354830502513,0.2816297232988138
92,0.2146126668566498,0.2815996430415995
93,0.2143929813194358,0.2819231089005414
94,0.2145713675895716,0.2819844247698007
95,0.2145332586183327,0.2820713402900111
96,0.2147117851749732,0.2821658455719382
97,0.214817028109251,0.2814595390601761
98,0.2147128867213883,0.2822736681401341
99,0.214634452090769,0.2818189488901153
100,0.2142429071950822,0.2808158033402367
