soc_abbr,target_family,evidence_type,n_targets
REP,IonChannel,secondary,0
REP,Enzyme,direct,0
REP,Enzyme,secondary,0
REP,Kinase,direct,0
REP,Kinase,secondary,3
REP,NHR,direct,1
REP,NHR,secondary,1
REP,Transporter,direct,2
REP,Transporter,secondary,0
REP,Other,direct,0
REP,Other,secondary,0
RES,GPCR,direct,16
RES,GPCR,secondary,10
RES,IonChannel,direct,3
RES,IonChannel,secondary,2
RES,Enzyme,direct,2
RES,Enzyme,secondary,1
RES,Kinase,direct,0
RES,Kinase,secondary,0
RES,NHR,direct,1
RES,NHR,secondary,0
RES,Transporter,direct,0
RES,Transporter,secondary,2
RES,Other,direct,0
RES,Other,secondary,0
SKI,GPCR,direct,1
SKI,GPCR,secondary,9
SKI,IonChannel,direct,0
SKI,IonChannel,secondary,1
SKI,Enzyme,direct,0
SKI,Enzyme,secondary,0
SKI,Kinase,direct,0
SKI,Kinase,secondary,2
SKI,NHR,direct,0
SKI,NHR,secondary,1
SKI,Transporter,direct,2
SKI,Transporter,secondary,2
SKI,Other,direct,0
SKI,Other,secondary,0
VAS,GPCR,direct,34
VAS,GPCR,secondary,5
VAS,IonChannel,direct,8
VAS,IonChannel,secondary,0
VAS,Enzyme,direct,5
VAS,Enzyme,secondary,4
VAS,Kinase,direct,1
VAS,Kinase,secondary,5
VAS,NHR,direct,2
VAS,NHR,secondary,1
VAS,Transporter,direct,3
VAS,Transporter,secondary,0
VAS,Other,direct,1
VAS,Other,secondary,0
