scheme,bin,n,old_mae_pp,new_mae_pp,delta_mae_new_minus_old_pp,delta_mae_bootstrap_ci_low,delta_mae_bootstrap_ci_high,paired_wilcoxon_p,new_better_fraction
coarse,0-40,68,37.666305101221674,28.654260223190402,-9.012044878031277,-12.66420966772401,-5.651309675327345,1.7678662105529504e-06,0.7941176470588235
coarse,40-80,148,18.08773876020666,16.90546957570647,-1.1822691845001876,-2.3505303607517902,-0.06151868059067785,0.03590152903347659,0.581081081081081
coarse,80-100,566,4.501904355696681,5.696438762477745,1.194534406781063,0.8656408896402085,1.6025971777103367,4.730528414434717e-13,0.3763250883392226
detailed,0-40,68,37.666305101221674,28.654260223190402,-9.012044878031277,-12.66420966772401,-5.651309675327345,1.7678662105529504e-06,0.7941176470588235
detailed,40-80,148,18.08773876020666,16.90546957570647,-1.1822691845001876,-2.3505303607517902,-0.06151868059067785,0.03590152903347659,0.581081081081081
detailed,80-90,97,8.210513601418182,7.9125562628242,-0.2979573385939804,-1.1576147773689607,0.5949316496614836,0.06158350841273261,0.6494845360824743
detailed,90-95,104,6.329597606804406,7.531639930717916,1.2020423239135098,0.48835629707207573,1.9382960211145182,0.02462306147886865,0.46153846153846156
detailed,95-99,226,3.8625301374563232,5.848423983205569,1.9858938457492459,1.4037344488891432,2.7416106470618424,5.323498153692079e-16,0.3141592920353982
detailed,99-100,139,1.58595743751058,2.5297266839520414,0.9437692464414618,0.5966954935868334,1.341250333808741,1.9471353185222063e-13,0.22302158273381295
